Point,Date,North (ft),East (ft),Elev(ft)
AB01,12/1/94,1729427.58,6445709.61,178.62
AB02,9/24/94,1726946.98,6447968.69,116.48
AB03,12/1/94,1727338.34,6447818.82,139.60
AB04,11/30/94,1728391.99,6447123.34,67.57
AB05,3/14/95,1728075.72,6447645.17,80.90
AB06,4/27/95,1729059.73,6446976.26,165.28
AB07,11/30/94,1728982.79,6447358.41,159.92
AB12,11/30/94,1729416.49,6448271.64,283.43
AB13,11/30/94,1729928.90,6448236.04,365.03
AB15,11/30/94,1730312.09,6448099.38,397.28
AB16,11/30/94,1730358.89,6447532.12,376.62
AB17,9/24/94,1731421.12,6446727.77,442.80
AB18,12/1/94,1731602.62,6448187.49,457.19
AB20,3/16/95,1729360.63,6449686.27,396.43
AB21,9/24/07,1729355.07,6449675.02,394.94
AB24,3/12/97,1729830.35,6447759.96,335.92
AB50,1/16/98,1728085.00,6448248.18,181.98
AB51,3/22/02,1729617.01,6447306.54,305.42
AB52,3/22/02,1730016.10,6448624.44,368.61
AB53,3/22/02,1730431.11,6449712.37,353.13
AB54,9/24/07,1731111.94,6447047.87,407.31
AB55,9/24/07,1731174.77,6447753.57,405.38
AB56,9/24/07,1732214.31,6448545.46,571.65
AB57,9/24/07,1731926.91,6449759.36,564.93
AB58,9/24/07,1731118.02,6449074.93,405.67
AB59,9/24/07,1730850.87,6450212.56,434.37
AB60,9/24/07,1729089.70,6447987.57,179.45
AB61,9/24/07,1727424.50,6447990.26,140.47
AB62,11/13/11,1728910.35,6446925.46,143.01
AB63,11/13/11,1729059.30,6447307.03,180.84
AB64,9/14/12,1731830.69,6447373.08,532.25
AB65,9/14/12,1731705.67,6448264.07,458.53
AB66,9/14/12,1730047.29,6448490.53,374.28
AB67,9/14/12,1731180.41,6447741.76,405.33
AB68,9/14/12,1730258.86,6448055.37,393.45
AB70,4/16/15,1729291.48,6448352.87,254.15
AB71,10/5/16,1732224.13,6448551.81,571.53
AB73,4/29/20,1728456.04,6448394.03,306.70
AB74,4/17/24,1729605.59,6446853.14,271.90
AB75,4/17/24,1729620.16,6449336.36,349.02
AB76,4/17/24,1730023.13,6446806.64,386.28
AB77,5/28/24,1733161.92,6446514.85,895.32
AB78,8/1/24,1732241.16,6448522.88,569.74
AB79,9/4/24,1734784.21,6448719.00,1169.77
AB80,9/4/24,1734692.15,6447838.30,1165.56
AB81,11/13/24,1731140.40,6448788.44,396.31
BB25,11/4/98,1727200.54,6449932.73,3.81
BB52,9/24/07,1726996.36,6451384.38,3.83
BB53,9/24/07,1726831.16,6451840.89,13.81
CR07,11/30/94,1731628.78,6451203.19,633.28
CR50,9/24/98,1733013.62,6451037.38,872.66
CR51,9/24/98,1733062.03,6452361.86,976.25
CR52,9/24/98,1732867.58,6450239.32,779.63
CR53,9/14/12,1732780.28,6450224.19,780.72
CR54,10/10/23,1731245.24,6450991.83,527.55
CR55,4/17/24,1735390.03,6450646.17,1152.85
CR55A,5/28/24,1735437.67,6450188.41,1157.27
CR56,5/28/24,1733194.41,6449201.90,782.58
CR57,8/1/24,1731568.87,6451323.53,618.94
CR58,9/4/24,1732680.61,6452989.55,917.00
CR59,9/4/24,1731860.97,6453394.75,878.09
CR60,10/8/24,1732970.83,6452807.59,921.86
CW01,6/14/22,1734174.31,6450266.32,1175.34
CW05,6/14/22,1732068.36,6450635.51,701.93
CW06,6/14/22,1730906.24,6452118.17,529.76
CW07,6/14/22,1729726.84,6453210.34,543.31
CW08,6/14/22,1729146.29,6453119.78,607.45
FT06,9/24/07,1729855.61,6452760.21,489.06
FT07,9/24/07,1729253.24,6454104.75,589.01
FT08,9/24/07,1729388.68,6453350.51,658.44
FT09,4/29/20,1729052.90,6454289.30,590.83
FT10,9/4/24,1730454.57,6452471.91,482.35
KC01,11/30/94,1728476.78,6452458.23,312.88
KC02,3/14/95,1727002.89,6452118.99,13.84
KC04,3/14/95,1727559.56,6452667.24,238.84
KC05,11/30/94,1727082.00,6453179.09,227.86
KC06,11/30/94,1727784.91,6453396.67,300.35
KC07,9/24/94,1727759.37,6453683.85,313.51
KC13,9/24/07,1726581.16,6453069.63,191.20
KC14,9/24/07,1726742.44,6453806.05,259.94
KC15,9/24/07,1727590.45,6453121.10,287.10
KC16,9/24/07,1727602.25,6454098.23,326.90
KC17,9/14/12,1727302.76,6453026.42,215.25
KC18,11/26/19,1728000.50,6452622.17,291.17
KC19,7/19/23,1727780.41,6453497.22,306.33
KC20,7/19/23,1727695.17,6453569.55,307.30
KC21,10/10/23,1728095.82,6453495.09,383.61
KC22,10/10/23,1728010.16,6453297.89,334.35
KC23,10/10/23,1727351.42,6453327.01,269.31
KC24,10/10/23,1726983.66,6452126.88,14.19
KC25,4/17/24,1726305.29,6452805.61,19.80
KC26,4/17/24,1726729.53,6452427.12,24.74
KC27,4/17/24,1726835.66,6452220.95,21.28
KC28,4/17/24,1726777.80,6451999.91,19.94
KC29,4/17/24,1726934.43,6451937.63,17.90
KC30,4/17/24,1727544.05,6452146.51,100.25
KC31,4/17/24,1727924.93,6452358.21,207.50
KC33,7/1/24,1727818.51,6453178.15,311.90
KC34,8/1/24,1726698.40,6454866.43,325.37
KC35,8/1/24,1726861.66,6454504.96,313.30
KC36,8/1/24,1726390.07,6454165.15,255.01
KC37,8/1/24,1726109.82,6454779.84,280.32
KC38,9/4/24,1726818.52,6451606.82,12.81
PB04,11/30/94,1727675.94,6448851.74,170.52
PB06,3/15/95,1727968.45,6449761.84,183.06
PB07,3/14/95,1728175.93,6450219.76,200.21
PB08,12/1/94,1728237.51,6450469.80,193.68
PB09,11/30/94,1728288.58,6450851.02,192.52
PB12,11/30/94,1728330.49,6451604.57,193.29
PB13,3/14/95,1728085.97,6452164.34,210.54
PB18,3/15/95,1730446.88,6450711.00,367.58
PB20,3/14/95,1728812.77,6451135.67,243.54
PB21,3/14/95,1729298.22,6451172.05,280.02
PB25,12/1/94,1729702.31,6451985.65,328.99
PB26,3/14/95,1729562.65,6452249.56,285.34
PB27,3/14/95,1729339.34,6451836.06,284.42
PB29,3/15/95,1728888.95,6452120.49,185.93
PB53,12/4/97,1729252.77,6450753.92,297.75
PB54,12/4/97,1729694.90,6450448.69,358.62
PB55,1/21/98,1728812.28,6450804.04,246.33
PB59,6/26/01,1727766.36,6448661.67,163.39
PB62,9/24/07,1728476.64,6449717.56,287.25
PB63,9/24/07,1727734.04,6451488.11,126.06
PB64,11/18/09,1727466.29,6450946.95,72.76
PB65,10/25/10,1728454.67,6449707.82,287.75
PB66,9/14/12,1729197.65,6450969.92,288.33
PB67,4/7/14,1727638.73,6450858.18,76.01
PB68,4/16/15,1727665.44,6448982.99,173.11
PB69,4/16/15,1727783.04,6448778.58,164.68
PB70,4/16/15,1727854.91,6448619.59,156.24
PB71,11/1/19,1728464.72,6449713.02,287.31
PB71RP,10/8/24,1728433.662,6449741.61,284.85
PB72,10/10/23,1727650.32,6449341.43,195.89
PB73,10/10/23,1729995.94,6451649.68,295.40
PB74,10/10/23,1727539.29,6451692.82,102.28
PB75,10/10/23,1729083.86,6450351.91,271.90
PB76,9/4/24,1729973.10,6451645.87,291.79
PB77,1/7/25,1727520.63,6451676.03,99.04
UB02,7/23/97,1727581.11,6450133.78,67.15
PVE3RP,2015,1729195.88,6438764.68,346.88
RP01,3/14/25,1725591.74,6455633.55,292.67
RP02,3/14/25,1730832.99,6445586.62,480.63
RP03,3/14/25,1730848.49,6445628.21,479.99
RP05,3/14/25,1730809.66,6445501.99,474.26
